"manufacturer","trans","drv","cty","hwy","class","total","con"
"chevrolet","auto(l4)","f",19,27,"midsize",23,"일반"
"chevrolet","auto(l4)","f",22,30,"midsize",26,"우수"
"chevrolet","auto(l4)","f",18,26,"midsize",22,"일반"
"chevrolet","auto(l4)","f",18,29,"midsize",23.5,"일반"
"chevrolet","auto(s6)","f",17,26,"midsize",21.5,"일반"
"dodge","auto(l3)","f",18,24,"minivan",21,"일반"
"dodge","auto(l4)","f",17,24,"minivan",20.5,"일반"
"dodge","auto(l4)","f",16,22,"minivan",19,"일반"
"dodge","auto(l4)","f",16,22,"minivan",19,"일반"
"dodge","auto(l4)","f",17,24,"minivan",20.5,"일반"
"dodge","auto(l4)","f",17,24,"minivan",20.5,"일반"
"dodge","auto(l4)","f",11,17,"minivan",14,"일반"
"dodge","auto(l4)","f",15,22,"minivan",18.5,"일반"
"dodge","auto(l4)","f",15,21,"minivan",18,"일반"
"dodge","auto(l6)","f",16,23,"minivan",19.5,"일반"
"dodge","auto(l6)","f",16,23,"minivan",19.5,"일반"
"dodge","manual(m6)","4",15,19,"pickup",17,"일반"
"dodge","auto(l4)","4",14,18,"pickup",16,"일반"
"dodge","auto(l4)","4",13,17,"pickup",15,"일반"
"dodge","manual(m5)","4",14,17,"pickup",15.5,"일반"
"dodge","auto(l5)","4",14,19,"pickup",16.5,"일반"
"dodge","auto(l5)","4",14,19,"pickup",16.5,"일반"
"dodge","auto(l5)","4",9,12,"pickup",10.5,"일반"
"dodge","manual(m5)","4",11,17,"pickup",14,"일반"
"dodge","auto(l4)","4",11,15,"pickup",13,"일반"
"dodge","auto(l4)","4",13,17,"suv",15,"일반"
"dodge","auto(l5)","4",13,17,"suv",15,"일반"
"dodge","auto(l5)","4",9,12,"suv",10.5,"일반"
"dodge","auto(l5)","4",13,17,"suv",15,"일반"
"dodge","auto(l4)","4",11,16,"suv",13.5,"일반"
"dodge","auto(l5)","4",13,18,"suv",15.5,"일반"
"dodge","auto(l4)","4",11,15,"suv",13,"일반"
"dodge","manual(m6)","4",12,16,"pickup",14,"일반"
"dodge","auto(l5)","4",9,12,"pickup",10.5,"일반"
"dodge","auto(l5)","4",13,17,"pickup",15,"일반"
"dodge","auto(l5)","4",13,17,"pickup",15,"일반"
"dodge","manual(m6)","4",12,16,"pickup",14,"일반"
"dodge","manual(m6)","4",9,12,"pickup",10.5,"일반"
"dodge","auto(l4)","4",11,15,"pickup",13,"일반"
"dodge","manual(m5)","4",11,16,"pickup",13.5,"일반"
"dodge","auto(l5)","4",13,17,"pickup",15,"일반"
"dodge","auto(l4)","4",11,15,"pickup",13,"일반"
"ford","auto(l4)","r",11,17,"suv",14,"일반"
"ford","auto(l4)","r",11,17,"suv",14,"일반"
"ford","auto(l6)","r",12,18,"suv",15,"일반"
"ford","auto(l5)","4",14,17,"suv",15.5,"일반"
"ford","manual(m5)","4",15,19,"suv",17,"일반"
"ford","auto(l5)","4",14,17,"suv",15.5,"일반"
"ford","auto(l5)","4",13,19,"suv",16,"일반"
"ford","auto(l6)","4",13,19,"suv",16,"일반"
"ford","auto(l4)","4",13,17,"suv",15,"일반"
"ford","auto(l4)","4",14,17,"pickup",15.5,"일반"
"ford","manual(m5)","4",14,17,"pickup",15.5,"일반"
"ford","manual(m5)","4",13,16,"pickup",14.5,"일반"
"ford","auto(l4)","4",13,16,"pickup",14.5,"일반"
"ford","auto(l4)","4",13,17,"pickup",15,"일반"
"ford","auto(l4)","4",11,15,"pickup",13,"일반"
"ford","auto(l4)","4",13,17,"pickup",15,"일반"
"ford","manual(m5)","r",18,26,"subcompact",22,"일반"
"ford","auto(l4)","r",18,25,"subcompact",21.5,"일반"
"ford","manual(m5)","r",17,26,"subcompact",21.5,"일반"
"ford","auto(l5)","r",16,24,"subcompact",20,"일반"
"ford","auto(l4)","r",15,21,"subcompact",18,"일반"
"ford","manual(m5)","r",15,22,"subcompact",18.5,"일반"
"ford","manual(m5)","r",15,23,"subcompact",19,"일반"
"ford","auto(l5)","r",15,22,"subcompact",18.5,"일반"
"ford","manual(m6)","r",14,20,"subcompact",17,"일반"
"honda","manual(m5)","f",28,33,"subcompact",30.5,"우수"
"honda","auto(l4)","f",24,32,"subcompact",28,"우수"
"honda","manual(m5)","f",25,32,"subcompact",28.5,"우수"
"honda","manual(m5)","f",23,29,"subcompact",26,"우수"
"honda","auto(l4)","f",24,32,"subcompact",28,"우수"
"honda","manual(m5)","f",26,34,"subcompact",30,"우수"
"honda","auto(l5)","f",25,36,"subcompact",30.5,"우수"
"honda","auto(l5)","f",24,36,"subcompact",30,"우수"
"honda","manual(m6)","f",21,29,"subcompact",25,"우수"
"hyundai","auto(l4)","f",18,26,"midsize",22,"일반"
"hyundai","manual(m5)","f",18,27,"midsize",22.5,"일반"
"hyundai","auto(l4)","f",21,30,"midsize",25.5,"우수"
"hyundai","manual(m5)","f",21,31,"midsize",26,"우수"
"hyundai","auto(l4)","f",18,26,"midsize",22,"일반"
"hyundai","manual(m5)","f",18,26,"midsize",22,"일반"
"hyundai","auto(l5)","f",19,28,"midsize",23.5,"일반"
"hyundai","auto(l4)","f",19,26,"subcompact",22.5,"일반"
"hyundai","manual(m5)","f",19,29,"subcompact",24,"일반"
"hyundai","manual(m5)","f",20,28,"subcompact",24,"일반"
"hyundai","auto(l4)","f",20,27,"subcompact",23.5,"일반"
"hyundai","auto(l4)","f",17,24,"subcompact",20.5,"일반"
"hyundai","manual(m6)","f",16,24,"subcompact",20,"일반"
"hyundai","manual(m5)","f",17,24,"subcompact",20.5,"일반"
"jeep","auto(l5)","4",17,22,"suv",19.5,"일반"
"jeep","auto(l5)","4",15,19,"suv",17,"일반"
"jeep","auto(l4)","4",15,20,"suv",17.5,"일반"
"jeep","auto(l4)","4",14,17,"suv",15.5,"일반"
"jeep","auto(l5)","4",9,12,"suv",10.5,"일반"
"jeep","auto(l5)","4",14,19,"suv",16.5,"일반"
"jeep","auto(l5)","4",13,18,"suv",15.5,"일반"
"jeep","auto(l5)","4",11,14,"suv",12.5,"일반"
"land rover","auto(l4)","4",11,15,"suv",13,"일반"
"land rover","auto(s6)","4",12,18,"suv",15,"일반"
"land rover","auto(s6)","4",12,18,"suv",15,"일반"
"land rover","auto(l4)","4",11,15,"suv",13,"일반"
"lincoln","auto(l4)","r",11,17,"suv",14,"일반"
"lincoln","auto(l4)","r",11,16,"suv",13.5,"일반"
"lincoln","auto(l6)","r",12,18,"suv",15,"일반"
"mercury","auto(l5)","4",14,17,"suv",15.5,"일반"
"mercury","auto(l5)","4",13,19,"suv",16,"일반"
"mercury","auto(l6)","4",13,19,"suv",16,"일반"
"mercury","auto(l4)","4",13,17,"suv",15,"일반"
"nissan","manual(m5)","f",21,29,"compact",25,"우수"
"nissan","auto(l4)","f",19,27,"compact",23,"일반"
"nissan","auto(av)","f",23,31,"midsize",27,"우수"
"nissan","manual(m6)","f",23,32,"midsize",27.5,"우수"
"nissan","manual(m6)","f",19,27,"midsize",23,"일반"
"nissan","auto(av)","f",19,26,"midsize",22.5,"일반"
"nissan","auto(l4)","f",18,26,"midsize",22,"일반"
"nissan","manual(m5)","f",19,25,"midsize",22,"일반"
"nissan","auto(av)","f",19,25,"midsize",22,"일반"
"nissan","auto(l4)","4",14,17,"suv",15.5,"일반"
"nissan","manual(m5)","4",15,17,"suv",16,"일반"
"nissan","auto(l5)","4",14,20,"suv",17,"일반"
"nissan","auto(s5)","4",12,18,"suv",15,"일반"
"pontiac","auto(l4)","f",18,26,"midsize",22,"일반"
"pontiac","auto(l4)","f",16,26,"midsize",21,"일반"
"pontiac","auto(l4)","f",17,27,"midsize",22,"일반"
"pontiac","auto(l4)","f",18,28,"midsize",23,"일반"
"pontiac","auto(s4)","f",16,25,"midsize",20.5,"일반"
"subaru","manual(m5)","4",18,25,"suv",21.5,"일반"
"subaru","auto(l4)","4",18,24,"suv",21,"일반"
"subaru","manual(m5)","4",20,27,"suv",23.5,"일반"
"subaru","manual(m5)","4",19,25,"suv",22,"일반"
"subaru","auto(l4)","4",20,26,"suv",23,"일반"
"subaru","auto(l4)","4",18,23,"suv",20.5,"일반"
"subaru","auto(l4)","4",21,26,"subcompact",23.5,"일반"
"subaru","manual(m5)","4",19,26,"subcompact",22.5,"일반"
"subaru","manual(m5)","4",19,26,"subcompact",22.5,"일반"
"subaru","auto(l4)","4",19,26,"subcompact",22.5,"일반"
"subaru","auto(s4)","4",20,25,"compact",22.5,"일반"
"subaru","auto(s4)","4",20,27,"compact",23.5,"일반"
"subaru","manual(m5)","4",19,25,"compact",22,"일반"
"subaru","manual(m5)","4",20,27,"compact",23.5,"일반"
"toyota","manual(m5)","4",15,20,"suv",17.5,"일반"
"toyota","auto(l4)","4",16,20,"suv",18,"일반"
"toyota","auto(l4)","4",15,19,"suv",17,"일반"
"toyota","manual(m5)","4",15,17,"suv",16,"일반"
"toyota","auto(l5)","4",16,20,"suv",18,"일반"
"toyota","auto(l5)","4",14,17,"suv",15.5,"일반"
"toyota","manual(m5)","f",21,29,"midsize",25,"우수"
"toyota","auto(l4)","f",21,27,"midsize",24,"일반"
"toyota","manual(m5)","f",21,31,"midsize",26,"우수"
"toyota","auto(l5)","f",21,31,"midsize",26,"우수"
"toyota","auto(l4)","f",18,26,"midsize",22,"일반"
"toyota","manual(m5)","f",18,26,"midsize",22,"일반"
"toyota","auto(s6)","f",19,28,"midsize",23.5,"일반"
"toyota","auto(l4)","f",21,27,"compact",24,"일반"
"toyota","manual(m5)","f",21,29,"compact",25,"우수"
"toyota","manual(m5)","f",21,31,"compact",26,"우수"
"toyota","auto(s5)","f",22,31,"compact",26.5,"우수"
"toyota","auto(l4)","f",18,26,"compact",22,"일반"
"toyota","manual(m5)","f",18,26,"compact",22,"일반"
"toyota","auto(s5)","f",18,27,"compact",22.5,"일반"
"toyota","auto(l3)","f",24,30,"compact",27,"우수"
"toyota","auto(l4)","f",24,33,"compact",28.5,"우수"
"toyota","manual(m5)","f",26,35,"compact",30.5,"우수"
"toyota","manual(m5)","f",28,37,"compact",32.5,"우수"
"toyota","auto(l4)","f",26,35,"compact",30.5,"우수"
"toyota","auto(l4)","4",11,15,"suv",13,"일반"
"toyota","auto(s6)","4",13,18,"suv",15.5,"일반"
"toyota","manual(m5)","4",15,20,"pickup",17.5,"일반"
"toyota","auto(l4)","4",16,20,"pickup",18,"일반"
"toyota","manual(m5)","4",17,22,"pickup",19.5,"일반"
"toyota","manual(m5)","4",15,17,"pickup",16,"일반"
"toyota","auto(l4)","4",15,19,"pickup",17,"일반"
"toyota","manual(m6)","4",15,18,"pickup",16.5,"일반"
"toyota","auto(l5)","4",16,20,"pickup",18,"일반"
"volkswagen","manual(m5)","f",21,29,"compact",25,"우수"
"volkswagen","auto(l4)","f",19,26,"compact",22.5,"일반"
"volkswagen","manual(m6)","f",21,29,"compact",25,"우수"
"volkswagen","auto(s6)","f",22,29,"compact",25.5,"우수"
"volkswagen","manual(m5)","f",17,24,"compact",20.5,"일반"
"volkswagen","manual(m5)","f",33,44,"compact",38.5,"우수"
"volkswagen","manual(m5)","f",21,29,"compact",25,"우수"
"volkswagen","auto(l4)","f",19,26,"compact",22.5,"일반"
"volkswagen","auto(s6)","f",22,29,"compact",25.5,"우수"
"volkswagen","manual(m6)","f",21,29,"compact",25,"우수"
"volkswagen","auto(s6)","f",21,29,"compact",25,"우수"
"volkswagen","manual(m5)","f",21,29,"compact",25,"우수"
"volkswagen","auto(l4)","f",16,23,"compact",19.5,"일반"
"volkswagen","manual(m5)","f",17,24,"compact",20.5,"일반"
"volkswagen","manual(m5)","f",35,44,"subcompact",39.5,"우수"
"volkswagen","auto(l4)","f",29,41,"subcompact",35,"우수"
"volkswagen","manual(m5)","f",21,29,"subcompact",25,"우수"
"volkswagen","auto(l4)","f",19,26,"subcompact",22.5,"일반"
"volkswagen","manual(m5)","f",20,28,"subcompact",24,"일반"
"volkswagen","auto(s6)","f",20,29,"subcompact",24.5,"일반"
"volkswagen","manual(m5)","f",21,29,"midsize",25,"우수"
"volkswagen","auto(l5)","f",18,29,"midsize",23.5,"일반"
"volkswagen","auto(s6)","f",19,28,"midsize",23.5,"일반"
"volkswagen","manual(m6)","f",21,29,"midsize",25,"우수"
"volkswagen","auto(l5)","f",16,26,"midsize",21,"일반"
"volkswagen","manual(m5)","f",18,26,"midsize",22,"일반"
"volkswagen","auto(s6)","f",17,26,"midsize",21.5,"일반"
