"manufacturer","model","displ","fl","class","total","tot","test"
"ford","expedition 2wd",4.6,"r","suv",14,14,"fail"
"ford","expedition 2wd",5.4,"r","suv",14,14,"fail"
"ford","expedition 2wd",5.4,"r","suv",15,15,"fail"
"ford","explorer 4wd",4,"r","suv",15.5,15.5,"fail"
"ford","explorer 4wd",4,"r","suv",17,17,"fail"
"ford","explorer 4wd",4,"r","suv",15.5,15.5,"fail"
"ford","explorer 4wd",4,"r","suv",16,16,"fail"
"ford","explorer 4wd",4.6,"r","suv",16,16,"fail"
"ford","explorer 4wd",5,"r","suv",15,15,"fail"
"ford","f150 pickup 4wd",4.2,"r","pickup",15.5,15.5,"fail"
"ford","f150 pickup 4wd",4.2,"r","pickup",15.5,15.5,"fail"
"ford","f150 pickup 4wd",4.6,"r","pickup",14.5,14.5,"fail"
"ford","f150 pickup 4wd",4.6,"r","pickup",14.5,14.5,"fail"
"ford","f150 pickup 4wd",4.6,"r","pickup",15,15,"fail"
"ford","f150 pickup 4wd",5.4,"r","pickup",13,13,"fail"
"ford","f150 pickup 4wd",5.4,"r","pickup",15,15,"fail"
"ford","mustang",3.8,"r","subcompact",22,22,"pass"
"ford","mustang",3.8,"r","subcompact",21.5,21.5,"pass"
"ford","mustang",4,"r","subcompact",21.5,21.5,"pass"
"ford","mustang",4,"r","subcompact",20,20,"pass"
"ford","mustang",4.6,"r","subcompact",18,18,"fail"
"ford","mustang",4.6,"r","subcompact",18.5,18.5,"fail"
"ford","mustang",4.6,"r","subcompact",19,19,"fail"
"ford","mustang",4.6,"r","subcompact",18.5,18.5,"fail"
"ford","mustang",5.4,"p","subcompact",17,17,"fail"
"honda","civic",1.6,"r","subcompact",30.5,30.5,"pass"
"honda","civic",1.6,"r","subcompact",28,28,"pass"
"honda","civic",1.6,"r","subcompact",28.5,28.5,"pass"
"honda","civic",1.6,"p","subcompact",26,26,"pass"
"honda","civic",1.6,"r","subcompact",28,28,"pass"
"honda","civic",1.8,"r","subcompact",30,30,"pass"
"honda","civic",1.8,"r","subcompact",30.5,30.5,"pass"
"honda","civic",1.8,"c","subcompact",30,30,"pass"
"honda","civic",2,"p","subcompact",25,25,"pass"
"hyundai","sonata",2.4,"r","midsize",22,22,"pass"
"hyundai","sonata",2.4,"r","midsize",22.5,22.5,"pass"
"hyundai","sonata",2.4,"r","midsize",25.5,25.5,"pass"
"hyundai","sonata",2.4,"r","midsize",26,26,"pass"
"hyundai","sonata",2.5,"r","midsize",22,22,"pass"
"hyundai","sonata",2.5,"r","midsize",22,22,"pass"
"hyundai","sonata",3.3,"r","midsize",23.5,23.5,"pass"
"hyundai","tiburon",2,"r","subcompact",22.5,22.5,"pass"
"hyundai","tiburon",2,"r","subcompact",24,24,"pass"
"hyundai","tiburon",2,"r","subcompact",24,24,"pass"
"hyundai","tiburon",2,"r","subcompact",23.5,23.5,"pass"
"hyundai","tiburon",2.7,"r","subcompact",20.5,20.5,"pass"
"hyundai","tiburon",2.7,"r","subcompact",20,20,"pass"
"hyundai","tiburon",2.7,"r","subcompact",20.5,20.5,"pass"
"jeep","grand cherokee 4wd",3,"d","suv",19.5,19.5,"fail"
"jeep","grand cherokee 4wd",3.7,"r","suv",17,17,"fail"
"jeep","grand cherokee 4wd",4,"r","suv",17.5,17.5,"fail"
"jeep","grand cherokee 4wd",4.7,"r","suv",15.5,15.5,"fail"
"jeep","grand cherokee 4wd",4.7,"e","suv",10.5,10.5,"fail"
"jeep","grand cherokee 4wd",4.7,"r","suv",16.5,16.5,"fail"
"jeep","grand cherokee 4wd",5.7,"r","suv",15.5,15.5,"fail"
"jeep","grand cherokee 4wd",6.1,"p","suv",12.5,12.5,"fail"
"land rover","range rover",4,"p","suv",13,13,"fail"
"land rover","range rover",4.2,"r","suv",15,15,"fail"
"land rover","range rover",4.4,"r","suv",15,15,"fail"
"land rover","range rover",4.6,"p","suv",13,13,"fail"
"lincoln","navigator 2wd",5.4,"r","suv",14,14,"fail"
"lincoln","navigator 2wd",5.4,"p","suv",13.5,13.5,"fail"
"lincoln","navigator 2wd",5.4,"r","suv",15,15,"fail"
"mercury","mountaineer 4wd",4,"r","suv",15.5,15.5,"fail"
"mercury","mountaineer 4wd",4,"r","suv",16,16,"fail"
"mercury","mountaineer 4wd",4.6,"r","suv",16,16,"fail"
"mercury","mountaineer 4wd",5,"r","suv",15,15,"fail"
"nissan","altima",2.4,"r","compact",25,25,"pass"
"nissan","altima",2.4,"r","compact",23,23,"pass"
"nissan","altima",2.5,"r","midsize",27,27,"pass"
"nissan","altima",2.5,"r","midsize",27.5,27.5,"pass"
"nissan","altima",3.5,"p","midsize",23,23,"pass"
"nissan","altima",3.5,"p","midsize",22.5,22.5,"pass"
"nissan","maxima",3,"r","midsize",22,22,"pass"
"nissan","maxima",3,"r","midsize",22,22,"pass"
"nissan","maxima",3.5,"p","midsize",22,22,"pass"
"nissan","pathfinder 4wd",3.3,"r","suv",15.5,15.5,"fail"
"nissan","pathfinder 4wd",3.3,"r","suv",16,16,"fail"
"nissan","pathfinder 4wd",4,"p","suv",17,17,"fail"
"nissan","pathfinder 4wd",5.6,"p","suv",15,15,"fail"
"pontiac","grand prix",3.1,"r","midsize",22,22,"pass"
"pontiac","grand prix",3.8,"p","midsize",21,21,"pass"
"pontiac","grand prix",3.8,"r","midsize",22,22,"pass"
"pontiac","grand prix",3.8,"r","midsize",23,23,"pass"
"pontiac","grand prix",5.3,"p","midsize",20.5,20.5,"pass"
"subaru","forester awd",2.5,"r","suv",21.5,21.5,"pass"
"subaru","forester awd",2.5,"r","suv",21,21,"pass"
"subaru","forester awd",2.5,"r","suv",23.5,23.5,"pass"
"subaru","forester awd",2.5,"p","suv",22,22,"pass"
"subaru","forester awd",2.5,"r","suv",23,23,"pass"
"subaru","forester awd",2.5,"p","suv",20.5,20.5,"pass"
"subaru","impreza awd",2.2,"r","subcompact",23.5,23.5,"pass"
"subaru","impreza awd",2.2,"r","subcompact",22.5,22.5,"pass"
"subaru","impreza awd",2.5,"r","subcompact",22.5,22.5,"pass"
"subaru","impreza awd",2.5,"r","subcompact",22.5,22.5,"pass"
"subaru","impreza awd",2.5,"p","compact",22.5,22.5,"pass"
"subaru","impreza awd",2.5,"r","compact",23.5,23.5,"pass"
"subaru","impreza awd",2.5,"p","compact",22,22,"pass"
"subaru","impreza awd",2.5,"r","compact",23.5,23.5,"pass"
"toyota","4runner 4wd",2.7,"r","suv",17.5,17.5,"fail"
"toyota","4runner 4wd",2.7,"r","suv",18,18,"fail"
"toyota","4runner 4wd",3.4,"r","suv",17,17,"fail"
"toyota","4runner 4wd",3.4,"r","suv",16,16,"fail"
"toyota","4runner 4wd",4,"r","suv",18,18,"fail"
"toyota","4runner 4wd",4.7,"r","suv",15.5,15.5,"fail"
"toyota","camry",2.2,"r","midsize",25,25,"pass"
"toyota","camry",2.2,"r","midsize",24,24,"pass"
"toyota","camry",2.4,"r","midsize",26,26,"pass"
"toyota","camry",2.4,"r","midsize",26,26,"pass"
"toyota","camry",3,"r","midsize",22,22,"pass"
"toyota","camry",3,"r","midsize",22,22,"pass"
"toyota","camry",3.5,"r","midsize",23.5,23.5,"pass"
"toyota","camry solara",2.2,"r","compact",24,24,"pass"
"toyota","camry solara",2.2,"r","compact",25,25,"pass"
"toyota","camry solara",2.4,"r","compact",26,26,"pass"
"toyota","camry solara",2.4,"r","compact",26.5,26.5,"pass"
"toyota","camry solara",3,"r","compact",22,22,"pass"
"toyota","camry solara",3,"r","compact",22,22,"pass"
"toyota","camry solara",3.3,"r","compact",22.5,22.5,"pass"
"toyota","corolla",1.8,"r","compact",27,27,"pass"
"toyota","corolla",1.8,"r","compact",28.5,28.5,"pass"
"toyota","corolla",1.8,"r","compact",30.5,30.5,"pass"
"toyota","corolla",1.8,"r","compact",32.5,32.5,"pass"
"toyota","corolla",1.8,"r","compact",30.5,30.5,"pass"
"toyota","land cruiser wagon 4wd",4.7,"r","suv",13,13,"fail"
"toyota","land cruiser wagon 4wd",5.7,"r","suv",15.5,15.5,"fail"
"toyota","toyota tacoma 4wd",2.7,"r","pickup",17.5,17.5,"fail"
"toyota","toyota tacoma 4wd",2.7,"r","pickup",18,18,"fail"
"toyota","toyota tacoma 4wd",2.7,"r","pickup",19.5,19.5,"fail"
"toyota","toyota tacoma 4wd",3.4,"r","pickup",16,16,"fail"
"toyota","toyota tacoma 4wd",3.4,"r","pickup",17,17,"fail"
"toyota","toyota tacoma 4wd",4,"r","pickup",16.5,16.5,"fail"
"toyota","toyota tacoma 4wd",4,"r","pickup",18,18,"fail"
"volkswagen","gti",2,"r","compact",25,25,"pass"
"volkswagen","gti",2,"r","compact",22.5,22.5,"pass"
"volkswagen","gti",2,"p","compact",25,25,"pass"
"volkswagen","gti",2,"p","compact",25.5,25.5,"pass"
"volkswagen","gti",2.8,"r","compact",20.5,20.5,"pass"
"volkswagen","jetta",1.9,"d","compact",38.5,38.5,"pass"
"volkswagen","jetta",2,"r","compact",25,25,"pass"
"volkswagen","jetta",2,"r","compact",22.5,22.5,"pass"
"volkswagen","jetta",2,"p","compact",25.5,25.5,"pass"
"volkswagen","jetta",2,"p","compact",25,25,"pass"
"volkswagen","jetta",2.5,"r","compact",25,25,"pass"
"volkswagen","jetta",2.5,"r","compact",25,25,"pass"
"volkswagen","jetta",2.8,"r","compact",19.5,19.5,"fail"
"volkswagen","jetta",2.8,"r","compact",20.5,20.5,"pass"
"volkswagen","new beetle",1.9,"d","subcompact",39.5,39.5,"pass"
"volkswagen","new beetle",1.9,"d","subcompact",35,35,"pass"
"volkswagen","new beetle",2,"r","subcompact",25,25,"pass"
"volkswagen","new beetle",2,"r","subcompact",22.5,22.5,"pass"
"volkswagen","new beetle",2.5,"r","subcompact",24,24,"pass"
"volkswagen","new beetle",2.5,"r","subcompact",24.5,24.5,"pass"
"volkswagen","passat",1.8,"p","midsize",25,25,"pass"
"volkswagen","passat",1.8,"p","midsize",23.5,23.5,"pass"
"volkswagen","passat",2,"p","midsize",23.5,23.5,"pass"
"volkswagen","passat",2,"p","midsize",25,25,"pass"
"volkswagen","passat",2.8,"p","midsize",21,21,"pass"
"volkswagen","passat",2.8,"p","midsize",22,22,"pass"
"volkswagen","passat",3.6,"p","midsize",21.5,21.5,"pass"
