road,ga_length,ga_start,ga_end,ga_k_end,ga_kind,ga_q,가로수길길이,가로수길소개,도로명,도로종류,도로구간,관리기관전화번호,관리기관명,데이터기준일자,제공기관코드,제공기관명
학소로(학소길),35.124337,126.935001,35.130269,126.932212,은행나무,153,0.68,은행나무가 주 식재 수종이며 주변에 상가 및 주택가가 밀집되어 있음,,,무등중뒤~평화맨션,062-608-2955,광주광역시 동구,2019-09-06,3590000,광주광역시 동구
증심천로(중심천길),35.15161,126.907561,35.132049,126.936322,왕벚나무,88,0.6,천변을 따라 왕벚나무가 봄철 화사한 경관을 연출함,,,원지교~홍림교,062-608-2955,광주광역시 동구,2019-09-06,3590000,광주광역시 동구
백서로(서명길),35.144569,126.924626,35.147324,126.926482,은행나무,36,0.18,은행나무가 주 식재 수종이며 주변에 상가 및 주택가가 밀집되어 있음,,,동구청뒤~오페라하우스,062-608-2955,광주광역시 동구,2019-09-06,3590000,광주광역시 동구
신반포로33길,37.514078,127.007782,37.508656,127.010059,은행+양버즘+메타,101,0.78,"주 가로수종으로 은행나무 식재, 그 외 양버즘나무와 메타세콰이어 혼식",,,잠원동103~잠원동78,,,2019-06-25,3210000,서울특별시 서초구
신반포로23길,37.512226,127.005858,37.507273,127.003015,은행,85,0.89,주 가로수종으로 은행나무 및 가중나무가 식재,,,잠원동110~잠원동78,,,2019-06-25,3210000,서울특별시 서초구
신반포로3길,37.504774,126.985558,37.501346,126.986659,양버즘+대왕참+은행,74,0.41,"전 구간 양버즘나무로 식재, 수목이 고령화하여 대형목으로 자람",,,반포동752~반포동1329,,,2019-06-25,3210000,서울특별시 서초구
서운로,37.503364,127.021378,37.484346,127.029448,양버즘+메타+은행+이팝+느티,503,2.3,"주 가로수종은 양버즘나무, 메타세콰이어, 은행나무, 이팝나무 혼식",,,서초동1376~서초동1412,,,2019-06-25,3210000,서울특별시 서초구
서래로,37.500032,126.998121,37.494983,126.998033,은행,111,0.56,"전 구간이 은행나무로 식재, 과하지 않은 전정을 통해 수형유지 및 상가피해를 최소화",,,반포동85-16~반포동128-12,,,2019-06-25,3210000,서울특별시 서초구
사평대로23길,37.502276,126.996961,37.501108,126.997485,은행,41,0.33,"주 가로수종은 은행나무, 보도폭이 협소함",,,반포동128-12~반포동117-18,,,2019-06-25,3210000,서울특별시 서초구
사평대로19길,37.503088,126.995167,37.499799,126.996611,은행,48,0.44,"주 가로수종은 은행나무, 통행량이 적어 가로띠녹지 조성 가능함",,,반포동128-12~반포동128-1,,,2019-06-25,3210000,서울특별시 서초구
법원로,37.494379,127.010723,37.493818,127.011104,은행,45,0.22,"주 가로수종으로 은행나무 식재, 고유의 수형을 유지하여 양호함",,,서초동1748-5~서초동1734-4,,,2019-06-25,3210000,서울특별시 서초구
방배천로,37.489376,126.986993,37.476982,126.982451,느티,18,1.63,"방배천을 복개한 인공지반이므로 전체적으로 가로수가 식재되어 있지 않았으나, 일부 보도 폭 확보되는 곳에 느티나무 식재",,,방배동504-1~방배동819-34,,,2019-06-25,3210000,서울특별시 서초구
방배중앙로,37.498198,126.984807,37.480429,126.993699,양버즘+이팝+은행+느티,336,2.27,"주 가로수종은 양버즘나무, 좁게 식재되고 수간이 불규칙. 동광로~동작대로 구간은 미식재",,,방배동917-7~방배동1297,,,2019-06-25,3210000,서울특별시 서초구
바우뫼로12길,37.470496,127.032275,37.466732,127.033177,메타+양버즘+은행,180,0.78,"양재천로를 기준으로 북측은 메타세콰이어, 남측은 양버즘나무로 조성",,,우면동23~양재동201-3,,,2019-06-25,3210000,서울특별시 서초구
바우뫼로,37.481581,127.042438,37.468719,127.024178,양버즘+은행+느티,502,2.26,"아파트 단지 주변 은행나무, 업무시설 주변은 양버즘나무 식재. 전선경합구간 많음",,,우면동21-20~양재동4-19,,,2019-06-25,3210000,서울특별시 서초구
명달로,37.490258,127.004716,37.477969,127.006503,양버즘+은행+느티,263,1.58,"주 가로수종 양버즘나무가 대부분, 보식 수종으로 은행나무, 그 외 느티나무 일부",,,서초동1748-51~서초동1748-8,,,2019-06-25,3210000,서울특별시 서초구
매헌로,37.471176,127.036717,37.462661,127.035408,양버즘+칠엽수+메타+은행,210,1.23,"주 가로수종 양버즘나무, 양재시민의 숲 구간 일부 침엽수, 이마트 주변은 메타세콰이어 식재",,,양재동227-6~양재동241-12,,,2019-06-25,3210000,서울특별시 서초구
청계산로,37.463142,127.045097,37.430628,127.070909,은행+느티+벚나무,1002,4.38,"주 가로수종 은행나무, 벚나무 및 느티나무 식재",,,염곡동305~신원동66-8,,,2019-06-25,3210000,서울특별시 서초구
중앙로,37.457881,127.011474,37.457416,127.016616,느티,88,0.95,"전 구간 느티나무로 식재되어 있었으나, 서초지구 보금자리 사업으로 인해 일정 구간 미식재",,,우면동651~우면동420-2,,,2019-06-25,3210000,서울특별시 서초구
마방로,37.477679,127.043985,37.473515,127.039146,메타,172,0.77,"양재천에 인접한 메타세콰이어 길, 수고가 높고 수형이 정갈",,,양재동238~양재동261-24,,,2019-06-25,3210000,서울특별시 서초구
동산로,37.473682,127.048308,37.468838,127.040239,은행,156,0.98,"수형이 양호한 은행나무 열식, 보호틀의 재료, 모양이 통일되지 않음",,,양재동238~양재동403,,,2019-06-25,3210000,서울특별시 서초구
동광로,37.493751,127.001695,37.490619,126.983198,양버즘+은행+느티,278,2.25,"대법원 인근 길 시작되는 곳은 양호한 수형의 느티나무 구간, 방배로 및 방배중앙로 인접 상업가로에는 은행나무, 양버즘나무 혼식",,,방배동2279~서초동1748-8,,,2019-06-25,3210000,서울특별시 서초구
도구로,37.488423,126.986222,37.479207,126.989706,느티+은행,156,1.35,"직선 구간은 가로수 없음, 곡선 구간은 새우촌 근린공원과 연계, 느티나무 가로수길 조성됨",,,방배동980-53~방배동686-41,,,2019-06-25,3210000,서울특별시 서초구
나루터로4길,37.515146,127.013706,37.509331,127.011483,양버즘+은행,170,0.78,"전구간 양버즘나무로 식재, 수형이 양호함, 일부 은행나무 및 가중나무 혼식",,,잠원동84~잠원동104,,,2019-06-25,3210000,서울특별시 서초구
나루터로,37.517267,127.010716,37.516113,127.018807,느티+은행+대왕참,158,0.89,"주 가로수종 가중나무 및 은행나무 식재, 일부 대왕참나무 혼식",,,잠원동78~잠원동87-1,,,2019-06-25,3210000,서울특별시 서초구
고무래로,37.503853,127.009065,37.500203,127.019284,느티+회화+은행,143,1.06,"상가지역 300미터 구간에 양호한 회화나무 식재, 아파트 단지 주변은 느티나무 및 은행나무",,,반포동128-7~반포동131-3,,,2019-06-25,3210000,서울특별시 서초구
과천대로,37.475804,126.982068,37.460668,126.988256,은행+양버즘,200,2.4,"주 가로수종은 은행나무, 남태령 및 방배래미안 아파트 인근에 띠녹지 조성되어 있음",,,방배동산191-1~방배동2507-1,,,2019-06-25,3210000,서울특별시 서초구
헌릉로,37.465402,127.044014,37.463511,127.091447,느티,870,8.5,"전 구간 느티나무 식재, 가로 중앙부 녹지대 또한 같은 수종으로 식재되어 있음",,,양재동238-1~내곡동13-250,,,2019-06-25,3210000,서울특별시 서초구
효령로,37.489338,127.030905,37.476453,126.985423,양버즘+은행+대왕참+느티+회화,839,4.3,"주 가로수종 양버즘나무, 일부 구간에 은행나무, 느티나무, 회화나무 및 대왕참나무 혼식",,,방배동504-1~서초동1340-6,,,2019-06-25,3210000,서울특별시 서초구
잠원로,37.522367,127.016237,37.507118,127.009875,칠엽수+회화+느티,385,2.4,"주 가로수종 칠엽수, 2011년에 가중나무를 갱신하여 회화나무, 가중나무가 일부 혼식",,,잠원동103~잠원동77-3,,,2019-06-25,3210000,서울특별시 서초구
양재대로,37.465902,127.044316,37.461961,127.036081,느티+은행,159,4,"구룡사앞~강남대로 구간 느티나무 및 은행나무, 주암교~선암IC 구간 일부 양호한 느티나무 식재",,,양재동222-1~양재동402-6,,,2019-06-25,3210000,서울특별시 서초구
사임당로,37.493086,127.029435,37.487401,127.010777,양버즘+은행+느티,310,1.8,"보식한 은행, 느티나무 제외 전 구간 양버즘나무 식재",,,서초동1748-14~서초동1337-34,,,2019-06-25,3210000,서울특별시 서초구
서초중앙로,37.504157,127.010356,37.482425,127.017544,칠엽수+양버즘+느티+은행+회화+벚나무,501,2.6,"삼호가든사거리~교대역 구간 칠엽수, 교대역~남부터미널 구간 양버즘, 그 외 일부 구간 느티나무 및 은행나무 식재",,,서초동1748-45~잠원동103,,,2019-06-25,3210000,서울특별시 서초구
사평대로,37.504574,127.023883,37.499378,126.985312,회화+양버즘+은행+느티+가중,455,3.8,"주 가로수종은 양버즘, 서초중앙로~강남대로 구간은 회화나무 및 은행나무 느티나무 혼식됨",,,방배동750-24~서초동1373,,,2019-06-25,3210000,서울특별시 서초구
충렬대로350번길,35.198225,129.096603,35.197124,129.097093,가시나무,11,0.15,가로변 양측으로 가시나무가 식재되어 있어 사시사철 푸른 가로변을 조성하고 있음,충렬대로350번길,,안락교차로~봉생병원입구,051-550-4494,부산광역시 동래구청,2019-03-21,3300000,부산광역시 동래구
충렬대로410번길,35.196626,129.103178,35.193561,129.101687,먼나무,8,0.1,가로변으로 먼나무가 식재되어 있어 사시사철 푸른 가로변을 조성하고 있음,충렬대로410번길,,충렬대로~안락강변뜨란채,051-550-4494,부산광역시 동래구청,2019-03-21,3300000,부산광역시 동래구
아시아드대로,35.194174,129.066632,35.208078,129.069547,히말라야시다+느티나무+메타세콰이어+가시나무+후박나무+먼나무,369,1.8,가로변 양측으로 후박나무가 식재되어 있어 사시사철 푸른 가로변을 조성하고 있음,아시아드대로,,아시아드대로108번길~미남교차로,051-550-4494,부산광역시 동래구청,2019-03-21,3300000,부산광역시 동래구
아시아드대로146번길,35.197513,129.065622,35.197415,129.066286,느티나무+이팝나무,12,0.8,공동주택 진입로 양측으로 이팝 가로수가 식재되어 있어 수려한 경관 제공,아시아드대로146번길,,사직역2번출구~사직롯데캐슬입구,051-550-4494,부산광역시 동래구청,2019-03-21,3300000,부산광역시 동래구
아시아드대로228번길,35.204222,129.067192,35.203729,129.069471,은행나무,22,0.2,가로변을 따라 은행나무가 식재되어 있어 가을철 단풍을 볼 수 있음,아시아드대로228번길,,아시아드대로~반도보라스카이뷰,051-550-4494,부산광역시 동래구청,2019-03-21,3300000,부산광역시 동래구
반송로,35.193841,129.091418,35.210404,129.105087,은행나무+메타세콰이어,361,2.4,가로변을 따라 은행나무와 메타세콰이어가 식재되어 있어 여름철 그늘 제공 및 가을철 단풍을 볼 수 있음,반송로,,연안교~금정구경계,051-550-4494,부산광역시 동래구청,2019-03-21,3300000,부산광역시 동래구
우장춘로,35.208078,129.069547,35.226025,129.078102,은행나무+왕벚나무+느티나무,293,2,가로변을 따라 가로수가 조성되어 봄철 왕벚나무의 벚꽃과 가을철 은행나무 단풍을 감상할 수 있음,우장춘로,,미남교차로~금강식물원,051-550-4494,부산광역시 동래구청,2019-03-21,3300000,부산광역시 동래구
쇠미로,35.194512,129.054425,35.209499,129.064361,은행나무+왕벚나무+느티나무+가시나무,339,2.95,"가로변을 따라 가로수가 조성되어 봄철 왕벚나무의 벚꽃과 가을철 은행나무 단풍을 감상할 수 있으며, 가시나무는 사시사철 푸른 가로변을 조성하고 있음",쇠미로,,원광사~온천화신아파트,051-550-4494,부산광역시 동래구청,2019-03-21,3300000,부산광역시 동래구
석사로,35.200521,129.064611,35.197626,129.060437,은행나무,93,0.45,가로변을 따라 은행나무가 식재되어 있어 가을철 단풍을 볼 수 있음,석사로,,사직1치안센터~사직사거리,051-550-4494,부산광역시 동래구청,2019-03-21,3300000,부산광역시 동래구
사직북로,35.197626,129.060437,35.200748,129.055859,이팝나무,48,0.8,가로변을 따라 이팝나무가 식재되어 있어 봄철 하얀 이팝나무 꽃을 감상할 수 있음,사직북로,,사직사거리~사직초등학교앞교차로,051-550-4494,부산광역시 동래구청,2019-03-21,3300000,부산광역시 동래구
사직북로19번길,35.197626,129.060437,35.197018,129.057638,은행나무,48,0.25,가로변을 따라 은행나무가 식재되어 있어 가을철 단풍을 볼 수 있음,사직북로19번길,,사직사거리~사직쌍용예가1차,051-550-4494,부산광역시 동래구청,2019-03-21,3300000,부산광역시 동래구
양재대로2길,37.457423,127.015149,37.460113,127.025053,이팝나무,238,1.5,이팝나무,,,우면동 594-3~우면동 792,,,2019-06-25,3210000,서울특별시 서초구
동산로19길,37.474979,127.045466,37.472953,127.047418,은행,66,0.3,"은행나무가 주 가로수종, 가로수는 강전정된 상태",,,양재동310-2~양재동298-2,,,2019-06-25,3210000,서울특별시 서초구
동산로13길,37.473492,127.043842,37.470456,127.042185,은행,66,0.28,"은행나무가 주 가로수종, 전선 경합구간에 대한 강전정으로 수형이 왜소함",,,양재동310-2~양재동310-1,,,2019-06-25,3210000,서울특별시 서초구
마방로10길,37.477008,127.043257,37.474675,127.044137,은행,62,0.31,"주 가로수종은 은행나무, 음식접이 밀집하고 보도폭이 좁아 건물과의 관계가 높음",,,양재동261-21~양재동298-2,,,2019-06-25,3210000,서울특별시 서초구
마방로6길,37.476551,127.042962,37.474022,127.040741,은행,55,0.25,"주 가로수종은 은행나무, 강전정됨",,,양재동261-20~양재동310-1,,,2019-06-25,3210000,서울특별시 서초구
언남길,37.475698,127.046164,37.470432,127.042098,은행,114,0.55,"주 가로수종은 은행나무, 동산로와 접하는 구간에 미식재 상태",,,양재동310-6~양재동310-14,,,2019-06-25,3210000,서울특별시 서초구
남부순환로325길,37.484563,127.014697,37.481177,127.014417,벚나무+느티,38,0.4,"주 수종은 느티나무와 벚나무, 서초한신, 경남아너스빌 쪽에 200m 가로 띠녹지 조성",,,서초동1748-46~서초동1748-38,,,2019-06-25,3210000,서울특별시 서초구
잠원로14길,37.520152,127.016473,37.515582,127.013587,양버즘+회화+메타+은행,135,0.64,"주 가로수종은 양버즘나무, 그 외 회화나무, 메타세콰이어, 은행나무 일부 혼식됨",,,잠원동78~잠원동84,,,2019-06-25,3210000,서울특별시 서초구
잠원로8길,37.515969,127.010735,37.515803,127.009437,느티+은행,44,0.48,"전 구간이 느티나무로 식재, 외부 녹지대로 인해 녹음량 풍부",,,잠원동78~잠원동104-8,,,2019-06-25,3210000,서울특별시 서초구
바우뫼로27길,37.477572,127.037234,37.475997,127.035153,벚나무,55,0.7,"전 구간 벚나무 조성, 녹음량 풍부함",,,양재동59~양재동60-2,,,2019-06-25,3210000,서울특별시 서초구
헌인릉길,37.463992,127.080934,37.461619,127.081727,느티+은행,159,0.3,"전 구간 느티나무로 식재, 수목 고유의 수형 유지",,,내곡동1-1706~내곡동13-248,,,2019-06-25,3210000,서울특별시 서초구
형촌2길,37.466713,127.020322,37.465536,127.020726,느티,57,0.35,느티,,,우면동 203-4~우면동 702,,,2019-06-25,3210000,서울특별시 서초구
형촌길,37.466612,127.019566,37.462754,127.021636,느티,68,0.33,느티,,,우면동 196-3~우면동714,,,2019-06-25,3210000,서울특별시 서초구
성촌길,37.468475,127.019541,37.466729,127.020796,느티,59,0.5,느티,,,우면동 634-65~우면동150-1,,,2019-06-25,3210000,서울특별시 서초구
태봉로2길,37.464074,127.027693,37.461792,127.023144,느티,114,0.24,느티,,,우면동295-10~우면동150-1,,,2019-06-25,3210000,서울특별시 서초구
태봉로,37.471086,127.029849,37.465662,127.028949,메타,288,0.15,"전 구간 메타세콰이어 식재, 아파트 단지 건설로 인해 신규식재지 수종 통일",,,우면동420-2~우면동23-2,,,2019-06-25,3210000,서울특별시 서초구
잠원로4길,37.513005,127.009678,37.511503,127.012322,양버즘+은행+느티,148,0.57,"주 가로수종은 양버즘나무와 은행나무 혼재, 중앙부 수종은 은행나무, 중앙녹지대 조성됨",,,잠원동102~잠원동100-1,,,2019-06-25,3210000,서울특별시 서초구
